OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,MonitoringLocationIdentifier,ResultIdentifier,CharacteristicName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96400203,USGS-03497300,NWIS-62327161,Manganese,Lower Quantitation Limit,10,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527311,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527312,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527316,Gross-Uranium,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527317,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527318,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423515,Alpha emitting radium isotopes,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423516,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423517,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423520,Gross-Uranium,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423521,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423522,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423523,Beta particle,Historical Lower Reporting Limit,0.4,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423524,Beta particle,Historical Lower Reporting Limit,0.4,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800321,USGS-03497300,NWIS-65265657,Lead,Lower Quantitation Limit,100,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452058,Total suspended solids,Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452059,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452060,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452064,Gross-Uranium,Historical Lower Reporting Limit,0.01,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452065,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452066,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478278,Cadmium,Lower Quantitation Limit,10,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478279,Chromium(VI),Historical Lower Reporting Limit,1,ug/l as Cr,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478281,Lead,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478282,Mercury,Historical Lower Reporting Limit,0.5,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478283,Zinc,Historical Lower Reporting Limit,10,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101099,USGS-03497300,NWIS-63319252,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101101,USGS-03497300,NWIS-63442048,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101104,USGS-03497300,NWIS-45101618,Suspended Sediment Discharge,Historical Lower Reporting Limit,0.35,tons/day,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101104,USGS-03497300,NWIS-66218208,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102099,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102100,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102101,Nitrate,Historical Lower Reporting Limit,0.443,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102102,Nitrate,Historical Lower Reporting Limit,0.100,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102103,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102104,Organic Nitrogen,Historical Lower Reporting Limit,0.30,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102105,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102176,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,0.40,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411110,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411118,Ammonia and ammonium,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411119,Ammonia and ammonium,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411120,Inorganic nitrogen (nitrate and nitrite),Historical Lower Reporting Limit,0.100,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411121,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411122,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411209,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411211,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411212,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411213,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411214,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411220,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411221,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411223,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411224,Silver,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411226,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-44484479,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-44484480,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-44484481,Suspended Sediment Discharge,Historical Lower Reporting Limit,0.41,tons/day,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-65542467,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-65542551,Ammonia and ammonium,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-65542555,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-65542558,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-65542559,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-65542560,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600010,USGS-03497300,NWIS-65542565,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-43245361,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63497935,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63497948,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498024,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498026,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498027,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498028,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498029,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498030,Copper,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498033,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498034,Manganese,Historical Lower Reporting Limit,1.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498035,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498036,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498107,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498108,Silver,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498110,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498112,Alpha particle,Historical Lower Reporting Limit,0.5,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498116,Gross-Uranium,Historical Lower Reporting Limit,0.02,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498117,Alpha particle,Historical Lower Reporting Limit,0.6,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498118,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600011,USGS-03497300,NWIS-63498119,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600138,USGS-03497300,NWIS-43245431,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600138,USGS-03497300,NWIS-43245432,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600138,USGS-03497300,NWIS-63506141,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600138,USGS-03497300,NWIS-63506236,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600138,USGS-03497300,NWIS-63506239,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600138,USGS-03497300,NWIS-63506240,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-44484572,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-44484573,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552380,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552473,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552476,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552483,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552485,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552486,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552487,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552488,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552492,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552573,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552574,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552576,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552577,Silver,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600175,USGS-03497300,NWIS-65552579,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600218,USGS-03497300,NWIS-43251621,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600218,USGS-03497300,NWIS-43251624,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600218,USGS-03497300,NWIS-63517878,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600218,USGS-03497300,NWIS-63517957,Ammonia and ammonium,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600218,USGS-03497300,NWIS-63517961,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-43251820,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-43251821,Organic Nitrogen,Historical Lower Reporting Limit,0.17,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-43251822,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-43251823,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,0.36,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579391,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579398,Kjeldahl nitrogen,Historical Lower Reporting Limit,0.20,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579469,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579470,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579471,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579477,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579480,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579481,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579482,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579485,Lead,Historical Lower Reporting Limit,5,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579486,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579488,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579489,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579558,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579559,Silver,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579561,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98701367,USGS-03497300,NWIS-63579562,Zinc,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-43251635,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-43251636,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-43251637,Suspended Sediment Discharge,Historical Lower Reporting Limit,0.63,tons/day,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-63549839,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-63549911,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-63549914,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-63549916,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-63549918,Fecal Coliform,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700065,USGS-03497300,NWIS-63549921,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-44487380,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-44487381,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-44487384,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-44487458,Organic Nitrogen,Historical Lower Reporting Limit,4.8,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-44487459,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606329,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606337,Ammonia and ammonium,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606338,Ammonia and ammonium,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606340,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606423,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606424,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606425,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606430,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606432,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606434,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606435,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606438,Lead,Historical Lower Reporting Limit,5,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98700243,USGS-03497300,NWIS-65606439,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
